data,ora,azione,minimo,massimo,media,counter
08-11-2021,09,FPG.FR,0.552,0.556,0.554,2
08-11-2021,09,ETL.FR,12.53,12.675,12.621847345132709,452
08-11-2021,09,POM.FR,23.42,23.8,23.643853211009173,109
08-11-2021,09,SFPI.FR,3.63,3.85,3.7658908045977015,174
08-11-2021,09,VCT.FR,38.4,38.8,38.61441441441441,111
08-11-2021,09,CS.FR,25.255,25.455,25.37012383900936,2584
08-11-2021,09,TRI.FR,163.8,166.5,165.36258741258746,286
08-11-2021,09,TCH.FR,2.64,2.682,2.6533846153846157,143
08-11-2021,09,MCPHY.FR,22.74,23.44,23.06714285714286,336
08-11-2021,09,LACR.FR,37.0,37.8,37.61363636363637,22
08-11-2021,09,COX.FR,3.16,3.175,3.1640697674418594,43
08-11-2021,09,BLC.FR,42.3,43.0,42.56931818181817,44
08-11-2021,09,CBOT.FR,3.72,3.75,3.7329999999999997,40
08-11-2021,09,VIL.FR,5.84,5.88,5.868333333333333,12
08-11-2021,09,MBWS.FR,1.4,1.425,1.4221153846153851,26
08-11-2021,09,DLTA.FR,89.5,91.9,90.65833333333332,36
08-11-2021,09,NEX.FR,86.8,88.5,87.66921052631584,190
08-11-2021,09,VRAP.FR,17.75,18.0,17.959374999999998,16
08-11-2021,09,ENGI.FR,12.758,12.91,12.826894613583162,2135
08-11-2021,09,QDT.FR,21.3,21.54,21.370666666666697,120
08-11-2021,09,PERR.FR,84.0,84.0,84.0,7
08-11-2021,09,FGR.FR,92.78,94.1,93.58536534446759,958
08-11-2021,09,PAR.FR,55.5,55.5,55.5,3
08-11-2021,09,ACAN.FR,0.516,0.528,0.5213333333333333,12
08-11-2021,09,LI.FR,22.17,22.54,22.366417910447733,469
08-11-2021,09,AUB.FR,55.8,56.3,55.91764705882354,51
08-11-2021,09,CAFO.FR,15.6,15.65,15.604999999999999,10
08-11-2021,09,DVT.FR,167.7,168.5,168.06666666666666,15
08-11-2021,09,ORAP.FR,5.99,6.0,5.991111111111112,9
08-11-2021,09,AURE.FR,8.78,9.0,8.897777777777778,36
08-11-2021,09,PAT.FR,17.0,17.0,17.0,6
08-11-2021,09,MDM.FR,20.18,20.46,20.308000000000035,165
08-11-2021,09,ABVX.FR,27.15,28.2,27.667204301075255,93
08-11-2021,09,IPS.FR,41.65,42.05,41.85144927536232,69
08-11-2021,09,AURS.FR,25.5,25.7,25.52777777777778,18
08-11-2021,09,PIG.FR,5.14,5.15,5.141249999999999,8
08-11-2021,09,LAT.FR,0.504,0.512,0.5066097560975611,41
08-11-2021,09,PSAT.FR,6.5,6.5,6.5,2
08-11-2021,09,ORP.FR,94.2,94.84,94.38754820936633,363
08-11-2021,09,ROTH.FR,39.5,39.95,39.718072289156666,83
08-11-2021,09,ADVIC.FR,9.0,9.12,9.085217391304347,46
08-11-2021,09,TOUP.FR,7.94,7.94,7.939999999999999,15
08-11-2021,09,UFF.FR,18.0,18.2,18.111538461538462,13
08-11-2021,09,RIN.FR,57.6,58.7,58.339682539682585,126
08-11-2021,09,SAMS.FR,204.0,204.0,204.0,7
08-11-2021,09,GPE.FR,30.0,30.0,30.0,5
08-11-2021,09,CBSM.FR,9.7,9.7,9.7,1
08-11-2021,09,LOCAL.FR,1.3102,1.33,1.323351401869157,107
08-11-2021,09,DBG.FR,10.3,10.47,10.371472392638065,163
08-11-2021,09,NK.FR,37.3,37.84,37.52642857142863,364
08-11-2021,09,MTU.FR,29.45,29.75,29.58125000000001,32
08-11-2021,09,XFAB.FR,9.63,9.83,9.736574074074063,216
08-11-2021,09,TFI.FR,8.9,8.98,8.938817204301062,186
08-11-2021,09,AFME.FR,6.0,6.0,6.0,4
08-11-2021,09,GV.FR,0.3615,0.38,0.36745937499999964,96
08-11-2021,09,LSS.FR,36.45,37.1,36.86730769230768,52
08-11-2021,09,FPN.FR,0.0364,0.0378,0.03729230769230769,13
08-11-2021,09,CGM.FR,25.0,25.4,25.134375000000002,16
08-11-2021,09,RF.FR,79.2,79.45,79.35390624999998,128
08-11-2021,09,ATE.FR,149.1,150.7,149.9238095238093,168
08-11-2021,09,CNV.FR,7.3,7.4,7.375,4
08-11-2021,09,COM.FR,11.65,12.05,11.778947368421052,19
08-11-2021,09,ELEC.FR,117.0,117.0,117.0,1
08-11-2021,10,TEP.FR,346.5,350.1,347.8256999282134,1393
08-11-2021,10,ETL.FR,12.545,12.61,12.580047169811309,212
08-11-2021,10,MAAT.FR,13.65,14.4,14.006296296296293,135
08-11-2021,10,LI.FR,21.91,22.24,22.01262626262622,198
08-11-2021,10,GRVO.FR,130.5,132.0,131.3409090909091,22
08-11-2021,10,NOKIA.FR,5.095,5.113,5.104166666666667,30
08-11-2021,10,GNFT.FR,3.142,3.15,3.147230769230769,13
08-11-2021,10,NEX.FR,88.15,89.05,88.78385416666659,96
08-11-2021,10,XFAB.FR,9.57,9.67,9.618780487804884,82
08-11-2021,10,LOCAL.FR,1.3108,1.3188,1.3140782608695651,23
08-11-2021,10,CAFO.FR,15.55,15.65,15.608333333333333,6
08-11-2021,10,BUDBS.FR,0.032,0.032,0.032,1
08-11-2021,10,UFF.FR,17.9,18.05,17.95,3
08-11-2021,10,AAA.FR,11.7,11.7,11.700000000000001,9
08-11-2021,10,BLC.FR,42.3,42.5,42.385000000000005,10
08-11-2021,10,TFI.FR,8.91,8.965,8.932763157894737,38
08-11-2021,10,SEV.FR,19.69,19.7,19.696090909090927,55
08-11-2021,10,FNAC.FR,57.4,57.8,57.647727272727295,44
08-11-2021,10,TRI.FR,165.6,166.5,166.1319148936169,47
08-11-2021,10,LUCBS.FR,0.0455,0.0455,0.0455,1
08-11-2021,10,AKW.FR,22.8,23.0,22.902631578947368,19
08-11-2021,10,CARM.FR,13.5,13.58,13.532105263157895,38
08-11-2021,10,PEUG.FR,130.2,130.6,130.30769230769232,13
08-11-2021,10,LAT.FR,0.514,0.517,0.5162631578947368,19
08-11-2021,10,IPS.FR,41.35,41.75,41.5843915343916,189
08-11-2021,10,HEXA.FR,42.4,42.4,42.4,1
08-11-2021,10,TOUP.FR,7.94,7.96,7.9575000000000005,8
08-11-2021,10,SAMS.FR,203.0,204.0,203.25,4
08-11-2021,10,COX.FR,3.16,3.17,3.1633333333333336,12
08-11-2021,10,AFME.FR,6.07,6.09,6.08,2
08-11-2021,10,LBIRD.FR,20.0,20.2,20.103846153846156,13
08-11-2021,10,ORAPB.FR,1.0,1.0,1.0,3
08-11-2021,10,CGGBS.FR,0.0062,0.0062,0.0062,3
