Date,ID,Mean,StdDev,Count
08-11-2021,NVD3.FR,-4.352400000000007,2.230277011195402,4
08-11-2021,SAMS.FR,-0.3333333333333333,0.4714045207910317,4
08-11-2021,DGE.FR,-0.22250000000000014,0.3324999999999996,3
08-11-2021,FATL.FR,-0.20000000000000284,0.0,2
08-11-2021,LBON.FR,-0.1999999999999981,0.3265986323710835,4
09-11-2021,ORIA.FR,-2.0,0.0,2
09-11-2021,TSL3.FR,-1.5781999999999998,1.385599999999999,3
09-11-2021,AAA.FR,-0.9000000000000004,0.0,2
09-11-2021,DLTA.FR,-0.5399999999999977,1.0209799214480209,6
09-11-2021,ELEC.FR,-0.5,0.5,3
11-11-2021,INFE.FR,-1.4000000000000057,0.0,2
11-11-2021,TRI.FR,-0.7875000000000014,2.4972172012061757,9
11-11-2021,FGR.FR,-0.21250000000000036,0.31207971738003226,9
11-11-2021,TEP.FR,-0.21249999999999858,1.260394283547801,9
11-11-2021,AIR.FR,-0.19500000000000028,0.8353292763934439,9
10-11-2021,TSL3.FR,-1.205,0.0,2
10-11-2021,ELEC.FR,-0.5,0.5,3
10-11-2021,PAR.FR,-0.5,0.0,2
10-11-2021,CAP.FR,-0.4375,1.9886788956490649,9
10-11-2021,FATL.FR,-0.34999999999999964,0.6062177826491064,5
12-11-2021,AIR.FR,-0.25,1.2370529495538976,9
12-11-2021,DGE.FR,-0.22500000000000142,0.0,2
12-11-2021,PAT.FR,-0.10000000000000024,0.24832774042919087,4
12-11-2021,RE.FR,-0.1,0.3741657386773941,6
12-11-2021,UBI.FR,-0.08375000000000021,0.3798005233013778,9
